,Freq
['hold'],1
['modarbejde'],1
['pointer'],1
['overtrædelserne'],1
['påvirker'],1
['folks'],1
['Trods'],1
['problemer'],1
['heller'],1
['steder'],1
['påpege'],1
['små'],1
['Konklusion'],1
['række'],1
['teoretikere'],1
['undersøge'],1
['Analysen'],1
['valgte'],1
['empiri'],1
['episoder'],1
['overholdt'],1
['tilfældet'],1
['omgange'],1
['Ved'],1
['orienterede'],1
['skete'],1
['afbrød'],1
['brud'],1
['påpeget'],1
['ødelagde'],1
['viste'],1
['scenarie'],1
['medførte'],1
['således'],1
['fortsætte'],1
['overblik'],1
['forklaring'],1
['hvorfor'],1
['opførte'],1
['anderledes'],1
['tre'],1
['komplementerende'],1
['dybere'],1
['vinkler'],1
['problematikker'],1
['virkninger'],1
['handlingerne'],1
['opretholdelsen'],1
,1
