,D_or_ND,File,max_word_length,Most_common_word_length,Occurence,Occurence_perc,Unique_words_in_doc,no_words,no_useful_tokens,no_useless_tokens,Noun_perc,Verb_perc,Adj_perc,Pron_perc,Adv_perc,Prop_perc
18,ND,ND18,36,9,513,19.468690702087287,291,2643,2442,201,44.799344799344794,22.85012285012285,9.254709254709256,6.388206388206388,10.85176085176085,5.8558558558558556
19,ND,ND19,26,9,377,14.936608557844696,565,2560,2318,242,45.685936151855046,18.593615185504746,9.361518550474548,3.1924072476272647,11.432269197584127,11.734253666954267
20,ND,ND20,26,9,349,17.48496993987976,370,1996,1924,72,46.41372141372141,23.440748440748443,9.355509355509355,4.261954261954262,11.902286902286903,4.625779625779626
21,ND,ND21,28,9,289,17.35735735735736,421,1715,1580,135,42.151898734177216,24.556962025316448,12.468354430379748,4.746835443037975,10.949367088607595,5.1265822784810124
22,D,D0,25,11,164,17.40976645435244,302,942,915,27,52.6775956284153,20.0,12.021857923497267,4.043715846994536,8.524590163934425,2.7322404371584703
23,D,D1,27,9,34,17.0,95,200,190,10,47.894736842105246,26.315789473684212,11.578947368421053,3.1578947368421053,8.947368421052632,2.1052631578947367
24,D,D2,24,13,22,14.864864864864865,82,148,141,7,44.680851063829785,21.27659574468085,10.638297872340424,4.25531914893617,17.02127659574468,2.127659574468085
25,D,D3,27,11,27,13.300492610837441,120,203,187,16,57.2192513368984,22.994652406417114,10.16042780748663,3.2085561497326207,4.27807486631016,2.13903743315508
26,D,D4,23,11,46,8.766233766233766,169,314,295,19,44.067796610169495,23.05084745762712,14.915254237288135,5.7627118644067785,11.864406779661017,0.3389830508474576
27,D,D5,29,9,310,16.324381253291207,507,1903,1776,127,44.76351351351353,24.43693693693693,12.894144144144144,4.391891891891892,11.824324324324325,1.6891891891891893
28,D,D6,24,8,87,15.535714285714285,157,560,499,61,45.69138276553106,20.040080160320638,10.621242484969939,4.208416833667335,11.222444889779561,8.216432865731463
29,D,D7,23,9,31,15.897435897435894,100,199,183,16,33.879781420765035,27.86885245901639,13.114754098360656,6.557377049180328,15.846994535519125,2.7322404371584703
30,D,D8,25,10,299,18.17629179331307,262,1661,1581,80,47.691334598355475,24.161922833649587,10.120177103099305,4.6173308032890565,11.132194813409235,2.277039848197344
31,D,D9,31,10,215,16.589506172839506,331,1300,1250,50,48.96,22.48,13.36,1.76,12.48,0.96
32,D,D10,26,9,51,17.770034843205572,100,287,242,45,49.586776859504134,16.11570247933885,8.677685950413224,4.545454545454546,8.264462809917356,12.8099173553719
33,D,D11,28,9,105,18.04123711340205,231,594,493,101,52.941176470588246,22.31237322515213,5.882352941176469,4.665314401622718,9.330628803245435,4.86815415821501
34,D,D12,25,9,46,15.91695501730104,134,293,278,15,46.76258992805754,28.057553956834532,5.755395683453237,3.5971223021582728,10.071942446043163,5.755395683453237
35,D,D13,25,9,85,19.859813084112147,180,432,405,27,44.93827160493828,26.17283950617284,9.629629629629632,3.2098765432098766,10.123456790123457,5.925925925925927
36,D,D14,25,9,201,20.385395537525355,304,1002,935,67,41.49732620320856,27.807486631016044,10.16042780748663,3.6363636363636362,13.689839572192511,3.2085561497326207
37,D,D15,27,9,190,16.843971631205672,417,1136,1066,70,46.81050656660414,23.63977485928705,10.787992495309567,4.409005628517824,13.320825515947465,1.0318949343339587
38,D,D16,27,10,45,15.845070422535212,100,284,274,10,49.63503649635037,21.532846715328464,9.854014598540148,6.204379562043796,11.313868613138686,1.4598540145985401
39,D,D17,22,9,107,23.010752688172044,199,469,436,33,47.018348623853214,21.100917431192666,14.449541284403667,4.816513761467889,11.009174311926609,1.6055045871559634
40,D,D18,54,9,1020,14.001372683596433,934,7375,6716,659,45.86063132817153,25.35735556879095,11.673615247170934,4.854079809410363,10.452650387135199,1.8016676593210244
41,D,D19,22,9,347,26.671790930053806,238,1305,1221,84,37.51023751023751,23.58722358722359,10.974610974610977,6.47010647010647,16.380016380016382,5.077805077805078
42,D,D20,20,7,95,14.570552147239265,154,668,523,145,50.2868068833652,18.54684512428298,11.089866156787762,6.309751434034416,11.281070745697894,2.48565965583174
43,D,D21,24,8,100,19.41747572815534,190,519,454,65,41.18942731277532,23.348017621145374,10.792951541850224,6.828193832599119,11.894273127753305,5.9471365638766525
44,D,D22,25,9,203,14.79591836734694,324,1372,1320,52,50.07575757575757,21.818181818181817,11.43939393939394,2.803030303030303,7.954545454545454,5.909090909090909
45,D,D23,31,11,59,17.611940298507463,165,335,320,15,35.3125,24.0625,16.25,2.8125,14.6875,6.875000000000001
