,Unnamed: 0.1,D_or_ND,max_word_length,Most_common_word_length,Occurence_perc,Unique_occ_perc,Noun_perc,Verb_perc,Adj_perc,Pron_perc,Adv_perc,Prop_perc,max_word_length_quar,Most_common_word_length_quar,Occurence_perc_quar,Unique_occ_perc_quar,Noun_perc_quar,Verb_perc_quar,Adj_perc_quar,Pron_perc_quar,Adv_perc_quar,Prop_perc_quar
11,11,ND,25,5,14.349112426035507,35.88328076,45.26813880126184,19.87381703470032,13.722397476340694,4.968454258675079,13.722397476340694,2.4447949526813884,4,2,1,3,3,1,4,3,4,2
12,12,ND,22,5,16.834721613327492,19.96320147,43.92824287028519,23.229070837166514,11.775528978840844,5.105795768169274,12.741490340386386,3.219871205151794,2,2,2,2,2,2,3,4,3,2
13,13,ND,20,5,19.845644983461963,29.37788018,45.04608294930875,21.774193548387093,9.7926267281106,4.9539170506912455,13.594470046082947,4.838709677419357,1,2,4,3,3,2,1,3,3,3
14,14,ND,21,5,16.020671834625322,14.52130096,40.311497938616576,25.194686211635364,10.719193770041226,4.031149793861658,17.86532295006871,1.8781493357764545,2,2,2,1,1,4,2,2,4,1
15,15,ND,27,5,15.116772823779195,21.12131464,45.04591590140164,23.247945867568873,6.6215563073948775,5.074915418076365,14.01643305944901,5.993233446109231,4,2,1,2,3,3,1,4,4,4
16,16,ND,20,8,11.564625850340136,65.25096525,54.05405405405406,16.988416988416983,10.424710424710424,1.5444015444015444,10.810810810810812,6.177606177606178,1,4,1,4,4,1,2,1,1,4
17,17,ND,24,5,17.811370358199145,18.00766284,39.32427725531174,21.03796586555207,14.942528735632186,3.2392894461859982,13.200975269940784,8.254963427377223,3,2,3,1,1,1,4,1,3,4
18,18,ND,32,5,19.468690702087287,11.91646192,44.799344799344794,22.85012285012285,9.254709254709256,6.388206388206388,10.85176085176085,5.8558558558558556,4,2,4,1,2,2,1,4,1,3
19,19,ND,22,5,14.936608557844696,24.37446074,45.685936151855046,18.593615185504746,9.361518550474548,3.1924072476272647,11.432269197584127,11.734253666954267,2,2,1,2,3,1,1,1,2,4
20,20,ND,22,5,17.48496993987976,19.23076923,46.41372141372141,23.440748440748443,9.355509355509355,4.261954261954262,11.902286902286903,4.625779625779626,2,2,3,1,3,3,1,2,3,3
21,21,ND,24,5,17.35735735735736,26.64556962,42.151898734177216,24.556962025316448,12.468354430379748,4.746835443037975,10.949367088607595,5.1265822784810124,3,2,3,2,1,4,4,3,2,3
22,22,D,21,7,17.40976645435244,33.00546448,52.6775956284153,20.0,12.021857923497267,4.043715846994536,8.524590163934425,2.7322404371584703,2,4,3,3,4,1,3,2,1,2
23,23,D,23,5,17.0,50.0,47.894736842105246,26.315789473684212,11.578947368421053,3.1578947368421053,8.947368421052632,2.1052631578947367,3,2,2,4,4,4,3,1,1,1
24,24,D,20,9,14.864864864864865,58.15602837,44.680851063829785,21.27659574468085,10.638297872340424,4.25531914893617,17.02127659574468,2.127659574468085,1,4,1,4,2,1,2,2,4,1
25,25,D,23,7,13.300492610837441,64.17112299,57.2192513368984,22.994652406417114,10.16042780748663,3.2085561497326207,4.27807486631016,2.13903743315508,3,4,1,4,4,2,2,1,1,1
26,26,D,19,7,8.766233766233766,57.28813559,44.067796610169495,23.05084745762712,14.915254237288135,5.7627118644067785,11.864406779661017,0.3389830508474576,1,4,1,4,2,2,4,4,2,1
27,27,D,25,5,16.324381253291207,28.5472973,44.76351351351353,24.43693693693693,12.894144144144144,4.391891891891892,11.824324324324325,1.6891891891891893,4,3,2,3,2,3,4,2,2,1
28,28,D,20,4,15.535714285714285,31.46292585,45.69138276553106,20.040080160320638,10.621242484969939,4.208416833667335,11.222444889779561,8.216432865731463,1,1,1,3,3,1,2,2,2,4
29,29,D,19,5,15.897435897435894,54.64480874,33.879781420765035,27.86885245901639,13.114754098360656,6.557377049180328,15.846994535519125,2.7322404371584703,1,3,2,4,1,4,4,4,4,2
30,30,D,21,6,18.17629179331307,16.57179001,47.691334598355475,24.161922833649587,10.120177103099305,4.6173308032890565,11.132194813409235,2.277039848197344,2,4,4,1,4,3,2,3,2,2
31,31,D,27,6,16.589506172839506,26.48,48.96,22.48,13.36,1.76,12.48,0.96,4,4,2,2,4,2,4,1,3,1
32,32,D,22,5,17.770034843205572,41.32231405,49.586776859504134,16.11570247933885,8.677685950413224,4.545454545454546,8.264462809917356,12.8099173553719,2,3,3,3,4,1,1,3,1,4
33,33,D,24,5,18.04123711340205,46.85598377,52.941176470588246,22.31237322515213,5.882352941176469,4.665314401622718,9.330628803245435,4.86815415821501,3,3,3,4,4,2,1,3,1,3
34,34,D,21,5,15.91695501730104,48.20143885,46.76258992805754,28.057553956834532,5.755395683453237,3.5971223021582728,10.071942446043163,5.755395683453237,2,3,2,4,3,4,1,1,1,3
35,35,D,21,5,19.859813084112147,44.44444444,44.93827160493828,26.17283950617284,9.629629629629632,3.2098765432098766,10.123456790123457,5.925925925925927,2,3,4,4,2,4,1,1,1,4
36,36,D,21,5,20.385395537525355,32.51336898,41.49732620320856,27.807486631016044,10.16042780748663,3.6363636363636362,13.689839572192511,3.2085561497326207,2,3,4,3,1,4,2,1,3,2
37,37,D,23,5,16.843971631205672,39.11819887,46.81050656660414,23.63977485928705,10.787992495309567,4.409005628517824,13.320825515947465,1.0318949343339587,3,3,2,3,3,3,2,2,3,1
38,38,D,23,6,15.845070422535212,36.49635036,49.63503649635037,21.532846715328464,9.854014598540148,6.204379562043796,11.313868613138686,1.4598540145985401,3,4,1,3,4,1,2,4,2,1
39,39,D,18,5,23.010752688172044,45.64220183,47.018348623853214,21.100917431192666,14.449541284403667,4.816513761467889,11.009174311926609,1.6055045871559634,1,3,4,4,3,1,4,3,2,1
40,40,D,50,5,14.001372683596433,13.90708755,45.86063132817153,25.35735556879095,11.673615247170934,4.854079809410363,10.452650387135199,1.8016676593210244,4,3,1,1,3,4,3,3,1,1
41,41,D,18,5,26.671790930053806,19.49221949,37.51023751023751,23.58722358722359,10.974610974610977,6.47010647010647,16.380016380016382,5.077805077805078,1,3,4,2,1,3,3,4,4,3
42,42,D,16,3,14.570552147239265,29.44550669,50.2868068833652,18.54684512428298,11.089866156787762,6.309751434034416,11.281070745697894,2.48565965583174,1,1,1,3,4,1,3,4,2,2
43,43,D,20,4,19.41747572815534,41.85022026,41.18942731277532,23.348017621145374,10.792951541850224,6.828193832599119,11.894273127753305,5.9471365638766525,1,1,4,4,1,3,2,4,2,4
44,44,D,21,5,14.79591836734694,24.54545455,50.07575757575757,21.818181818181817,11.43939393939394,2.803030303030303,7.954545454545454,5.909090909090909,2,4,1,2,4,2,3,1,1,4
45,45,D,27,7,17.611940298507463,51.5625,35.3125,24.0625,16.25,2.8125,14.6875,6.875000000000001,4,4,3,4,1,3,4,1,4,4
